playerID,nameGiven
anderda02,David Carter
anderdr01,Drew Thomas
anderdr02,Andrew James
anderdw01,Dwain Cleaven
anderfe01,Ferrell Jack
anderfr01,John Frederick
anderga01,Garret Joseph
anderge01,George Jendrus
andergo01,Edward John
anderha01,Harold
anderha02,Harry Walter
anderia01,Ian Theodore
anderja01,Jason Roger
anderji01,James Lea
anderji02,James Drew
anderjo01,John Joseph
anderjo02,John Charles
anderjo03,Joshua Aaron
anderju01,Justin Charles
anderke01,Kent McKay
anderla01,Lawrence Dennis
anderla02,Larry Eugene
anderla03,Lars Eric
anderma01,Matthew Jason
anderma02,Marlon Ordell
andermi01,Michael Allen
andermi02,Michael James
anderni01,Nick Paul
anderre01,Arnold Revola
anderri01,Richard Lee
anderri02,Richard Arlen
andersc01,Scott Richard
andersh01,Shaun
andersp01,George Lee
anderta01,Tanner Ackley
anderti01,Timothy Devon
anderty01,Tyler John
anderva01,Warner Samuel
anderwa01,Walter Carl
anderwi01,Wingo Charlie
andinro01,Robert Lazaro
andrast01,Stephen Michael
andrecl01,Clayton John
andreed01,George Edward
andreel01,Elbert DeVore
andreer01,Ernest Henry
andrefr01,Fred
andrehu01,Hubert Carl
andreiv01,Ivy Paul
andreji01,James Pratt
andrejo01,John Edward
andrejo02,John Richard
andrejo03,John Francis
andreki01,Kim Darrell
andremi01,Michael Jay
andrena01,Nathan Hardy
andrero01,Robert Patrick
andresh01,Darrell Shane
andrest01,Stanley Joseph
andrewa01,William Walter
andrima01,Matthew Lee
andrubi01,William Morgan
andruel01,Elvis Augusto
andrufr01,Frederick Hotham
andruwi01,William Wiman
andujjo01,Joaquin
andujlu01,Luis
andujmi01,Miguel Enrique
angelno01,Norman Stanley
anglema01,Matthew Ryan
angleto01,Thomas Samuel
ankenpa01,Frederick Norman
ankieri01,Richard Alexander
annade01,Dean William
annisbi01,William Perley
ansonca01,Adrian Constantine
anthoer01,Eric Todd
antoldu01,Dustin Kamakana Mai Ku'u Makualani
antoljo01,Joseph
antonbi01,William James
antonjo01,John Lawrence
antonjo02,John August
antonma01,Matthew Antonio
antonte01,Tejay Anthony
aokino01,Norichika
aparilu01,Luis Ernesto
apodabo01,Robert John
apontlu01,Luis Eduardo
apostsh01,Sherten Wimbert Ramiro
appelma01,Mark Stewart
appieke01,Robert Kevin
appleed01,Edward Samuel
applefr01,Frederick Romaine
applepe01,Peter William
applilu01,Lucius Benjamin
aquinar01,Aristides
aquingr01,Gregori Emilio
aquinja01,Jayson Julio
aquinlu01,Luis Antonio
aragoan01,Angel
aragoja01,Angel Valdes
arandjo01,Jonathan Alexander
aranovi01,Victor Teodoro
araujel01,Elvis Alejandro
araujpe01,Pedro
arauzjo01,Jonathan Aldair
archdma01,Maurice John
archech01,Christopher Alan
archefr01,Frederick Marvin
archeji01,James Patrick
archeji02,James William
archige01,George Albert
arciafr01,Francisco Antonio
arciajo01,Jose Raimundo
arciaor01,Orlando Jesus
arciaos01,Oswaldo Celestino
ardelda01,Daniel Miers
ardizru01,Rinaldo Joseph
ardnejo01,Joseph A.
ardoida01,Daniel Wayne
arellfr01,Frank Julian
arenano01,Nolan James
arencjp01,Jonathan Paul
arftha01,Henry Irven
ariasal01,Alejandro
ariasal02,Alberto A.
ariasga01,Gabriel Alejandro
ariasge01,George Alberto
ariasjo01,Joaquin
